"device_type","unique_vendor_count","vendors"
"MEDIA_SERVER","135","3CX; American Megatrends; American Megatrends Inc; Apple; Arris; ARRIS Group Inc.; Asus; ASUSTOR; AVM; Axis; BAS-IP; BitTorrent; Blue Iris; Bosch; Bouygues Telecom; Brother; Cambium Networks; CasaOS; Cerberus FTP Server; Check Point; Cisco; Crestron; CrushFTP; Cudy; Dahua; Dell; D-Link; DrayTek; Emby; EMQ; F5; Fibar Group; Fibaro; FileZilla; Fortinet; Foscam; Free; Freebox; Frigate; Fronius; Gargoyle; Geovision; GitLab; GLiNet; GPON; Grafana; Green Electronics LLC; GreenWave Systems; Hewlett Packard Enterprise; Hewlett-Packard; Hikvision; Home Assistant; Homebridge; Honeywell; HP; Huawei; Icecast; IceWhale; IceWhaleTech; Iliad; Iliadbox; Indigo; IPConfigure; ipTIME; iRobot; iXsystems; Jeedom; Jellyfin; Keenetic; LG; LG Electronics; Linksys; Linuxserver.io; Microsoft; MitraStar; Netgear; Network Optix; Nextcloud; Niko; Nokia; OctoPrint; Onkyo; openmediavault; OpenVPN; OpenWrt; OPNsense; Orange; Parallels; Peplink; pfSense; PiKVM; Plesk; Plex; Proxmox; QNAP; RainMachine; Raspberry Pi; RealVNC; Reolink; Roku; Runtipi; Sagemcom; Schneider Electric; Seagate; Seagate Technology; Shelly; Shenzhen Cudy Technology Co., Ltd.; SolarAssistant; SonicWall; Sophos; Syncthing; Synology; Teltonika; Tenda; TerraMaster; Thecus; TP-Link; Ubiquiti; Ubiquiti Networks; UGREEN; Umbrel; Uniview; Unraid; Vaultwarden; Verizon; Visonic; VMware; WatchGuard; Webmin; Western Digital; XAMControl; XIBO; Yu Technologies; ZimaOS; ZyXEL"
"VPN","218","3CX; 6CloudTech; ABB; AdGuard; Advantech; AhnLab; Alt-N; AMI; Anta Systems; AnyDesk; Apache; Applied Precision; Araknis; Araknis Networks; Asus; Asustor; AtlasParsian; Avigilon; AVM; Axentra; Axis; BAS-IP; BBL Technologies; Blockbit; Blue Iris; BNT Business; Bouygues Telecom; Brother; Bticino; Buffalo; Cambium Networks; Carel; Castco; Cavisson; Check Point; Chengdu Junyun Technology; CIG; Cisco; Citrix; Cloudflare; CombWay; CoolinkIoT; Cudy; Dahua; Dell; Diehl Metering; D-Link; Domoticz; DPTech; DrayTek; EDG Automation; Emerson; EMQ; EMQ Technologies; EMQX; Epson; F5; F5 Networks; Feiniu; FileZilla; FireBrick; Flatway; FORT; Fortinet; Fraunhofer; free@home; Freebox; Frisquet; frogblue; Geovision; GFI Software; Gira; Gitea; GitLab; GPON; Grafana; Grafana Labs; Grandstream; GUV Electronics; H3C; Hikvision; Hillstone Networks; Home Assistant; HomeMatic; Honeywell; HP; Huawei; Hüsch Klimatechnik; iKuai; Inseego; Instar; Intelbras; ioBroker; ipTIME; ISONA; Issabel; iXsystems; JumpMind; Juniper; Keenetic; Kerio; Kong; LANCOM Systems; LeadSec; LG; Limosys; LLC NPP Stels; LUPUS Electronics; Microsoft; MikroTik; Mitsubishi Electric; MOXA; MpRouter; n8n; Nedap; Netgate; Netgear; Nethesis; NethServer; Network Optix; Nokia; Nusoft System; Omnitrend; OpenBSD; Opengear; openHAB; OpenMediaVault; OpenSprinkler; OpenVPN; OpenWrt; OPNsense; Oracle; Orange; Pakedge; Palo Alto Networks; Panabit; Paradox; Parallels; Paxton; Peplink; pfSense; Pi-hole; PiKVM; Pi-KVM; Plesk; Pritunl; Proxmox; PRTG; Qianxin; QNAP; QNAP Systems; RabbitMQ; Raspberry Pi; Reolink; RESOL; Rhino Software; Ridgetop Group; Ruijie; Rustdesk; S. Siedle & Soehne; S. Siedle & Soehne OHG; Sagemcom; Samsung; Sangfor; Sangoma; Schneider Electric; Semhung; Shelly; Shenzhen Cudy Technology; Shenzhen Cudy Technology Co., Ltd.; Sicotek; Siemens; SKIDATA; Slovanet; SMSEagle; SoftEther; Solax Power; SonicWall; Sophos; Stormshield; Switchvox; Symcon GmbH; Syncia; Synology; Teklab; Telegärtner Elektronik GmbH; Teltonika; Tenda; ThingsBoard; TP-Link; Traccar; Traefik; Traefik Labs; Tridium; Trimble; Trimble Navigation; Turris; Ubiquiti; Ubiquiti Networks; UGREEN; Unraid; Untangle; VMware; Vodafone; Wanwei; Wärtsilä; WASHTEC AG; WatchGuard; WIKA; WireGuard; Wizzilab; Wyse; Xiongmai Technology; YuanCloud; ZTE; ZyWALL; Zyxel; 艾泰科技"
